Yr,Mon,Contribs,Followers
2011, 10, 22279, 21
2010, 12, 7154, 147
2011, 1, 6478, 147
2008, 2, 4826, 282
2014, 3, 4700, 2
2011, 6, 4442, 326
2011, 2, 3687, 4
2012, 9, 3661, 19
2014, 7, 3245, 1
2012, 8, 3147, 159
2012, 1, 3077, 120
2011, 5, 3053, 13
2011, 1, 2978, 86
2009, 9, 2955, 41
2012, 3, 2872, 15
2011, 4, 2856, 6
2014, 9, 2851, 2
2009, 4, 2719, 508
2013, 5, 2583, 3
2009, 1, 2493, 40
2013, 3, 2475, 19
2011, 8, 2303, 24
2011, 10, 2142, 20
2011, 12, 2086, 194
2014, 4, 2004, 100
2011, 3, 1975, 21
2009, 11, 1927, 17
2013, 5, 1860, 205
2010, 7, 1814, 45
2013, 8, 1807, 5
2010, 2, 1800, 10
2008, 6, 1798, 20
2012, 12, 1793, 28
2011, 6, 1737, 40
2012, 10, 1721, 41
2011, 6, 1706, 86
2013, 12, 1704, 3
2013, 10, 1699, 15
2013, 10, 1659, 1
2011, 7, 1648, 2
2012, 5, 1585, 26
2009, 3, 1580, 344
2009, 9, 1567, 48
2014, 3, 1554, 9
2011, 8, 1549, 31
2012, 1, 1491, 7
2014, 2, 1480, 17
2010, 2, 1476, 29
2013, 3, 1464, 5
2011, 3, 1460, 22
2008, 4, 1429, 25
2011, 2, 1424, 8
2011, 10, 1423, 47
2011, 5, 1398, 28
2011, 6, 1373, 107
2008, 7, 1367, 20
2008, 4, 1367, 287
2014, 8, 1336, 14
2011, 8, 1329, 18
2012, 12, 1284, 38
2012, 5, 1278, 9
2014, 5, 1274, 2
2009, 4, 1267, 46
2013, 6, 1247, 42
2013, 1, 1236, 26
2012, 6, 1231, 14
2012, 3, 1230, 50
2008, 9, 1227, 5
2011, 5, 1216, 43
2013, 4, 1205, 4
2014, 8, 1201, 4
2012, 1, 1183, 15
2011, 3, 1151, 46
2012, 11, 1150, 31
2011, 9, 1143, 190
2011, 3, 1138, 28
2011, 2, 1125, 53
2008, 4, 1125, 81
2010, 6, 1125, 5
2010, 12, 1124, 111
2010, 10, 1114, 16
2013, 11, 1098, 37
2014, 1, 1095, 4
2009, 5, 1086, 37
2011, 5, 1079, 37
2011, 6, 1066, 14
2011, 9, 1061, 63
2013, 2, 1048, 15
2011, 12, 1041, 8
2013, 9, 1031, 50
2009, 4, 1028, 43
2010, 3, 1025, 7
2009, 2, 1021, 223
2012, 3, 1012, 8
2008, 1, 1003, 144
2010, 9, 985, 10
2011, 4, 985, 88
2009, 1, 977, 15
2012, 10, 975, 3
2012, 5, 975, 3
2012, 1, 950, 28
2012, 3, 944, 72
2011, 7, 936, 29
2010, 4, 933, 3
2013, 11, 927, 5
2011, 5, 921, 12
2011, 7, 908, 47
2014, 8, 906, 10
2011, 12, 902, 8
2012, 10, 899, 2
2013, 10, 898, 19
2013, 3, 898, 107
2010, 9, 889, 4
2013, 11, 889, 2
2010, 6, 889, 33
2008, 4, 888, 48
2012, 2, 863, 29
2011, 2, 860, 27
2012, 6, 849, 13
2014, 10, 839, 6
2014, 11, 831, 44
2011, 12, 828, 108
2015, 10, 823, 1
2013, 3, 821, 19
2013, 8, 817, 62
2010, 1, 814, 0
2012, 3, 814, 78
2013, 11, 807, 8
2012, 8, 807, 55
2012, 9, 803, 10
2013, 2, 803, 19
2011, 3, 802, 4
2012, 8, 801, 42
2012, 4, 801, 72
2012, 8, 794, 37
2012, 11, 792, 7
2011, 2, 790, 12
2011, 10, 784, 31
2012, 2, 775, 36
2011, 4, 774, 2
2013, 2, 772, 37
2015, 2, 770, 22
2013, 10, 765, 8
2014, 12, 764, 3
2014, 9, 764, 13
2013, 2, 762, 1
2011, 4, 762, 17
2010, 9, 758, 92
2013, 10, 754, 4
2009, 12, 743, 12
2013, 10, 731, 0
2013, 9, 729, 56
2013, 11, 725, 12
2013, 2, 721, 16
2011, 10, 721, 4
2011, 6, 720, 108
2012, 4, 716, 101
2012, 6, 710, 32
2012, 12, 709, 24
2008, 7, 709, 134
2011, 8, 703, 3
2014, 3, 703, 8
2013, 1, 698, 15
2012, 11, 695, 4
2015, 2, 686, 2
2014, 5, 686, 9
2012, 3, 685, 82
2013, 4, 683, 5
2012, 3, 681, 5
2014, 1, 679, 4
2011, 3, 671, 7
2010, 5, 670, 118
2014, 8, 664, 43
2011, 11, 663, 33
2013, 8, 663, 5
2014, 4, 662, 0
2012, 3, 661, 70
2015, 2, 659, 6
2015, 2, 657, 2
2012, 3, 656, 2
2010, 5, 654, 3
2013, 7, 653, 123
2010, 4, 653, 54
2012, 1, 649, 99
2013, 7, 649, 9
2012, 8, 644, 118
2011, 10, 639, 46
2013, 9, 638, 313
2014, 6, 637, 2
2012, 2, 637, 8
2012, 1, 631, 57
2012, 1, 631, 5
2011, 2, 627, 59
2011, 1, 624, 18
2012, 2, 620, 4
2011, 6, 613, 2
2011, 10, 610, 7
2014, 3, 602, 6
2013, 2, 601, 1100
2012, 8, 599, 32
2013, 6, 598, 10
2010, 11, 597, 1
2009, 1, 595, 48
2012, 7, 593, 13
2014, 4, 591, 7
2013, 10, 591, 23
2010, 9, 590, 28
2012, 12, 589, 4
2013, 11, 589, 13
2010, 11, 589, 13
2014, 1, 587, 0
2012, 12, 583, 23
2012, 12, 582, 13
2010, 6, 581, 85
2012, 3, 579, 16
2010, 1, 579, 14
2014, 12, 576, 3
2012, 1, 576, 7
2015, 6, 571, 2
2013, 7, 570, 14
2012, 8, 568, 5
2012, 11, 568, 14
2008, 4, 565, 7
2012, 3, 564, 30
2011, 12, 561, 9
2014, 9, 558, 0
2013, 10, 556, 19
